class,filename,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_std_13,delta1_mean_1,delta1_mean_2,delta1_mean_3,delta1_mean_4,delta1_mean_5,delta1_mean_6,delta1_mean_7,delta1_mean_8,delta1_mean_9,delta1_mean_10,delta1_mean_11,delta1_mean_12,delta1_mean_13,delta1_std_1,delta1_std_2,delta1_std_3,delta1_std_4,delta1_std_5,delta1_std_6,delta1_std_7,delta1_std_8,delta1_std_9,delta1_std_10,delta1_std_11,delta1_std_12,delta1_std_13,delta2_mean_1,delta2_mean_2,delta2_mean_3,delta2_mean_4,delta2_mean_5,delta2_mean_6,delta2_mean_7,delta2_mean_8,delta2_mean_9,delta2_mean_10,delta2_mean_11,delta2_mean_12,delta2_mean_13,delta2_std_1,delta2_std_2,delta2_std_3,delta2_std_4,delta2_std_5,delta2_std_6,delta2_std_7,delta2_std_8,delta2_std_9,delta2_std_10,delta2_std_11,delta2_std_12,delta2_std_13,rms_mean,rms_std,zcr_mean,zcr_std,centroid_mean,centroid_std
jelo,tts_jelo_013.wav,-1054.6446561432913,5.109461797082605,-4.799399121628968,4.8806098493313055,-12.445131146551038,-7.801534382610723,-7.397025951472176,-7.302825199974621,-5.602198681944038,-0.19705435807876454,-0.3435838309879898,-0.7709960279793697,-1.8760853690166193,574.5101246380311,46.751728479168015,19.531810286561704,19.43845860064956,16.713410701673972,13.736873175237724,13.763552452274393,11.488863840575496,8.86575838452268,6.929980429651209,5.345631616880511,4.31462605935287,4.662768740519292,-2.870879740444849e-15,3.5885996755560615e-16,-6.280049432223107e-17,-2.6914497566670462e-17,1.16629489455572e-16,1.704584845889129e-16,-9.420074148334662e-17,1.4690829921807628e-16,6.392193172084235e-17,6.055761952500853e-17,1.3457248783335231e-17,4.485749594445077e-18,-3.027880976250427e-17,75.00233750937196,8.957803147021103,3.3387157013341073,2.565928318450597,2.8116827505746596,2.255012713624324,2.4443936920604945,1.8717391545183923,2.1388739192704875,1.6978628213739382,1.6455047803743208,1.335431551642456,1.331115322731751,-7.177199351112123e-16,-1.2111523905001707e-16,-4.485749594445077e-18,-4.485749594445077e-18,-2.2428747972225387e-18,5.607186993056346e-18,-1.45786861819465e-17,1.1214373986112692e-17,2.803593496528173e-18,-1.6260842279863404e-17,3.925030895139442e-18,7.850061790278884e-18,3.0839528461809902e-18,26.83226815773851,3.200437913038119,0.9933681740692712,0.721394764945632,1.0326192566582841,0.8133409097725782,0.9533231100341858,0.6485154894257376,0.8097298911103309,0.7367863562088577,0.7681823270380294,0.5750853260550753,0.5866840482242508,0.006027767434716225,0.009858372621238232,0.1125,0.17085544813793863,1186.396991364302,1543.8453560016105
jelo,tts_jelo_018.wav,-1149.4321609547014,9.749901361291531,0.7359284521905196,7.986761047929912,-22.119550158042863,-1.7046166877256865,-9.51554531208683,-3.4292543349143427,-8.72373882428869,-3.5316370774874155,-4.253522775462575,-0.8518097221259259,-3.0495426022889935,540.281693099916,43.20517528973752,13.376080148264903,17.18667551269048,28.767214300084877,8.596550629578152,14.049870371045117,7.278297596061676,11.80272962887099,8.366967415183355,7.268536668581106,4.426889354636822,5.003130338061785,1.4354398702224246e-15,8.522924229445646e-17,-1.9064435776391576e-17,2.512019772889243e-16,1.6148698540002277e-16,1.1214373986112693e-18,7.177199351112124e-17,-5.0464682937507114e-17,7.62577431055663e-17,0.0,-6.504336911945362e-17,4.0371746350005693e-17,4.261462114722823e-17,67.44636176211982,9.10687445226024,3.1118516344591134,3.437372738887761,4.012821369977143,1.6379725748288876,2.4678074324057393,1.8702208091653947,1.9557042941383735,1.9320624043031756,1.9157381886278657,1.177779899765787,1.1229454237488474,-2.153159805333637e-16,-2.0185873175002847e-17,-2.200820894774616e-17,4.485749594445077e-18,-8.971499188890155e-18,1.6821560979169039e-18,5.046468293750712e-18,0.0,2.0185873175002847e-17,7.850061790278884e-18,7.28934309097325e-18,7.850061790278884e-18,1.6821560979169039e-18,22.849606759757975,3.77981832424783,1.1132387370990995,1.4010421601718857,1.3276451171333825,0.5798416029584118,1.0462495186280478,0.8599581956791097,0.750422190979793,0.8396617084739332,0.8101124396303981,0.4998132637271411,0.4954505296352401,0.004028706811368465,0.0071078515611588955,0.08232673267326734,0.1442388941731559,966.6706494236234,1346.1431863558657
jelo,tts_jelo_019.wav,-1127.3141953641036,-1.7278744143081266,4.299950516715529,-11.472427906417323,-18.89152553171313,-5.731002937084712,-12.535375845911586,-7.447927021345871,-7.00543344870958,-1.5705961787747402,-4.512864674792774,-1.8461080705321153,-6.613964636980642,562.875733395967,33.51606586859726,13.010255832638148,20.58240645971191,23.92229033582434,12.593207746413139,16.5301296513779,10.43798782571153,11.978189012509995,6.850548040005478,7.930541663652343,5.9257624768175985,9.312518760076335,-2.8708797404448495e-16,-3.588599675556062e-17,-4.485749594445077e-17,7.177199351112124e-17,3.700743415417188e-17,3.588599675556062e-17,-6.1679056923619804e-18,-4.485749594445077e-18,-5.8314744727786e-17,-2.6914497566670462e-17,5.943618212639727e-17,2.2428747972225384e-17,-5.214683903542402e-17,73.3838231131011,7.688552310824581,3.2142232725588658,3.570329831961512,3.327851634592216,2.1080383231643003,2.918874246258261,2.2509934076369023,3.0002889253720633,2.0615857777434767,1.7013498372486109,1.8819287043061568,1.8003405280041078,5.382899513334092e-16,-1.1214373986112692e-17,1.0092936587501423e-17,-1.1214373986112692e-17,1.3597428458161639e-17,1.1214373986112693e-18,-1.1634913010591918e-17,-1.2335811384723961e-17,-7.850061790278884e-18,-3.252168455972681e-17,3.3643121958338078e-18,-9.602307725608993e-18,-7.008983741320433e-19,26.07342348061453,2.9721966985128616,1.2429655729828613,1.1023185818308145,1.2071950175962793,0.7931283553573729,1.2012455626009346,0.9467131237919608,1.2251583732264495,0.9112756546299509,0.7608354508769003,0.8662304373513818,0.7185500328075507,0.005426275078207254,0.008636591024696827,0.0957920792079208,0.16852700913666085,1187.0034820991511,1598.6886296920145
jelo,tts_jelo_020.wav,-1130.3431592543823,5.065216457523381,-0.37466920043387364,0.07799337777068337,-19.854532739894463,-4.812673087575662,-10.004406143967937,-6.505457225326717,-8.557847110205248,-4.708023761716825,-1.829286883478865,-5.180855192494806,-1.8998265913837242,558.5268827615722,43.17424586888596,8.911261768413354,16.999950464463563,25.513529531051574,13.774841089518278,16.31197855616257,11.046849524048662,11.366773295908065,7.427253611288302,6.695227313043616,8.680416807035954,4.860719196224168,2.870879740444849e-15,-3.9474596431116675e-16,-8.971499188890155e-18,1.794299837778031e-17,-1.74944234183358e-16,-3.140024716111554e-17,1.1214373986112693e-16,3.588599675556062e-17,1.5027261141391008e-16,-5.1586120336118384e-17,-6.95291187138987e-17,-1.570012358055777e-17,1.9064435776391576e-17,74.43714714944164,10.08332111109294,2.092334924091591,3.0713171389436864,3.975547344972127,2.621475548441261,2.5005236004715603,2.7043994516260383,2.285192288779414,2.071534707445792,2.0232277364930797,1.8224523560450827,1.3552053893144247,-5.382899513334092e-16,4.485749594445077e-17,1.2335811384723961e-17,1.5139404881252134e-17,5.607186993056346e-18,1.9625154475697212e-17,1.2335811384723961e-17,-8.410780489584519e-19,-4.766108944097894e-18,4.766108944097894e-18,4.485749594445077e-18,1.4017967482640865e-18,-9.812577237848606e-18,26.711796907553254,3.7082484219037775,0.8201743428536148,1.0061043622631378,1.5505921039134412,1.0207063330183874,0.8726875425350016,1.2463807967742475,1.0179795552158664,0.8826338859395684,0.9029293886242903,0.7803592640483797,0.6039036210108494,0.005648905877023935,0.009665349498391151,0.07215346534653465,0.13414794815032346,994.044296818311,1399.4853645375924
rast,es_rast_000.wav,-1596.3561349500883,0.0,-1.2520463480011973e-13,0.0,-1.224592817037574e-13,0.0,-2.948204913146676e-14,0.0,-5.5838726345728756e-14,0.0,-3.8924325045406553e-14,0.0,-2.3601334014938547e-14,6.821210263296962e-13,0.0,5.048709793414476e-29,0.0,1.0097419586828951e-28,0.0,1.262177448353619e-29,0.0,4.417621069237666e-29,0.0,0.0,0.0,1.8932661725304283e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rast,es_rast_001.wav,-1596.3561349500883,0.0,-1.2520463480011973e-13,0.0,-1.224592817037574e-13,0.0,-2.948204913146676e-14,0.0,-5.5838726345728756e-14,0.0,-3.8924325045406553e-14,0.0,-2.3601334014938547e-14,6.821210263296962e-13,0.0,5.048709793414476e-29,0.0,1.0097419586828951e-28,0.0,1.262177448353619e-29,0.0,4.417621069237666e-29,0.0,0.0,0.0,1.8932661725304283e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rast,es_rast_002.wav,-1596.3561349500883,0.0,-1.2520463480011973e-13,0.0,-1.224592817037574e-13,0.0,-2.948204913146676e-14,0.0,-5.5838726345728756e-14,0.0,-3.8924325045406553e-14,0.0,-2.3601334014938547e-14,6.821210263296962e-13,0.0,5.048709793414476e-29,0.0,1.0097419586828951e-28,0.0,1.262177448353619e-29,0.0,4.417621069237666e-29,0.0,0.0,0.0,1.8932661725304283e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rast,es_rast_003.wav,-1596.3561349500883,0.0,-1.2520463480011975e-13,0.0,-1.2245928170375742e-13,0.0,-2.9482049131466763e-14,0.0,-5.583872634572875e-14,0.0,-3.8924325045406553e-14,0.0,-2.3601334014938553e-14,6.821210263296962e-13,0.0,7.573064690121713e-29,0.0,1.262177448353619e-28,0.0,1.8932661725304283e-29,0.0,5.048709793414476e-29,0.0,0.0,0.0,1.262177448353619e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rast,es_rast_004.wav,-1596.3561349500883,0.0,-1.252046348001197e-13,0.0,-1.2245928170375737e-13,0.0,-2.948204913146676e-14,0.0,-5.583872634572877e-14,0.0,-3.8924325045406553e-14,0.0,-2.3601334014938556e-14,6.821210263296962e-13,0.0,2.524354896707238e-29,0.0,7.573064690121713e-29,0.0,1.262177448353619e-29,0.0,3.155443620884047e-29,0.0,0.0,0.0,9.466330862652142e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rast,es_rast_005.wav,-1596.3561349500883,0.0,-1.2520463480011973e-13,0.0,-1.224592817037574e-13,0.0,-2.948204913146676e-14,0.0,-5.583872634572876e-14,0.0,-3.8924325045406553e-14,0.0,-2.360133401493855e-14,6.821210263296962e-13,0.0,5.048709793414476e-29,0.0,1.0097419586828951e-28,0.0,1.262177448353619e-29,0.0,3.7865323450608567e-29,0.0,0.0,0.0,1.5777218104420236e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
